w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
124.0,124.0,444.0,644.0,1,0,0,0,0,0,1,0,0
24.0,124.0,544.0,644.0,0,0,0,0,0,0,1,0,0
4.0,114.0,564.0,654.0,0,0,0,0,0,0,0,1,1
4.0,94.0,564.0,674.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,1,2
564.0,14.0,4.0,754.0,0,0,0,0,0,1,0,0,3
564.0,184.0,4.0,584.0,0,0,0,0,0,1,0,0,3
554.0,214.0,14.0,554.0,1,0,0,0,0,1,1,0,0
314.0,214.0,254.0,554.0,1,0,0,0,0,0,1,0,0
4.0,204.0,564.0,564.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,1,2
84.0,4.0,484.0,764.0,0,0,0,0,1,0,0,1,2
374.0,14.0,194.0,754.0,0,0,0,1,1,1,0,0,3
374.0,74.0,194.0,694.0,0,0,0,1,0,1,0,0,3
374.0,124.0,194.0,644.0,0,0,0,1,0,1,0,0,3
374.0,184.0,194.0,584.0,0,0,0,1,0,1,0,0,3
374.0,224.0,194.0,544.0,0,0,0,1,0,1,0,0,3
374.0,254.0,194.0,514.0,0,0,0,1,0,1,0,0,3
364.0,454.0,204.0,314.0,1,0,0,0,0,0,1,0,0
334.0,454.0,234.0,314.0,1,0,0,0,0,0,1,0,0
164.0,454.0,404.0,314.0,0,0,0,0,0,0,1,0,0
54.0,464.0,514.0,304.0,0,0,0,1,0,1,0,0,3
44.0,764.0,524.0,4.0,0,0,0,0,0,0,1,0,0
34.0,764.0,534.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
4.0,414.0,564.0,354.0,0,0,0,0,0,0,0,1,1
4.0,314.0,564.0,454.0,0,0,0,0,0,0,0,1,1
4.0,304.0,564.0,464.0,0,0,0,0,0,0,0,1,1
4.0,104.0,564.0,664.0,0,0,0,0,0,0,0,1,1
14.0,64.0,554.0,704.0,0,0,1,0,1,0,0,0,2
244.0,64.0,324.0,704.0,0,0,0,0,1,0,0,0,2
274.0,64.0,294.0,704.0,0,0,0,0,1,0,0,0,2
344.0,64.0,224.0,704.0,0,0,0,0,1,0,0,0,2
504.0,64.0,64.0,704.0,0,0,0,0,1,0,0,0,2
564.0,74.0,4.0,694.0,0,0,0,0,0,1,0,0,3
554.0,174.0,14.0,594.0,1,0,0,0,0,1,1,0,0
344.0,174.0,224.0,594.0,1,0,0,0,0,0,1,0,0
254.0,174.0,314.0,594.0,1,0,0,0,0,0,1,0,0
124.0,174.0,444.0,594.0,1,0,0,0,0,0,1,0,0
14.0,174.0,554.0,594.0,0,0,0,0,0,0,1,0,0
4.0,164.0,564.0,604.0,0,0,0,0,0,0,0,1,1
14.0,4.0,554.0,764.0,0,0,0,0,1,0,0,1,2
194.0,4.0,374.0,764.0,0,0,0,0,1,0,0,0,2
264.0,4.0,304.0,764.0,0,0,0,0,1,0,0,0,2
284.0,4.0,284.0,764.0,0,0,0,0,1,0,0,0,2
564.0,14.0,4.0,754.0,0,0,0,0,0,1,0,0,3
564.0,24.0,4.0,744.0,0,0,0,0,0,1,0,0,3
564.0,144.0,4.0,624.0,0,0,0,0,0,1,0,0,3
564.0,374.0,4.0,394.0,0,0,0,0,0,1,0,0,3
554.0,574.0,14.0,194.0,1,0,0,0,0,0,1,0,0
544.0,574.0,24.0,194.0,1,0,0,0,0,0,1,0,0
154.0,574.0,414.0,194.0,1,0,0,0,0,0,1,0,0
84.0,564.0,484.0,204.0,0,1,0,0,0,0,1,1,1
84.0,414.0,484.0,354.0,0,1,0,0,0,0,0,1,1
84.0,384.0,484.0,384.0,0,1,0,0,0,0,0,1,1
94.0,94.0,474.0,674.0,0,0,1,0,1,0,0,1,2
124.0,94.0,444.0,674.0,0,0,1,0,1,0,0,0,2
264.0,94.0,304.0,674.0,0,0,1,0,1,0,0,0,2
274.0,94.0,294.0,674.0,0,0,1,0,1,0,0,0,2
474.0,94.0,94.0,674.0,0,0,0,0,1,0,0,0,2
564.0,104.0,4.0,664.0,0,0,0,0,1,1,0,0,3
564.0,234.0,4.0,534.0,0,0,0,0,0,1,0,0,3
564.0,404.0,4.0,364.0,0,0,0,0,0,1,0,0,3
564.0,414.0,4.0,354.0,0,0,0,0,0,1,0,0,3
564.0,504.0,4.0,264.0,0,0,0,0,0,1,0,0,3
554.0,524.0,14.0,244.0,1,0,0,0,0,1,1,0,0
504.0,524.0,64.0,244.0,1,0,0,0,0,0,1,0,0
444.0,524.0,124.0,244.0,1,0,0,0,0,0,1,0,0
404.0,524.0,164.0,244.0,1,0,0,0,0,0,1,0,0
294.0,524.0,274.0,244.0,1,0,0,0,0,0,1,0,0
4.0,514.0,564.0,254.0,0,0,0,0,0,0,0,1,1
4.0,394.0,564.0,374.0,0,0,0,0,0,0,0,1,1
14.0,324.0,554.0,444.0,0,0,1,0,1,0,0,1,2
24.0,324.0,544.0,444.0,0,0,1,0,1,0,0,1,2
164.0,324.0,404.0,444.0,0,0,1,0,1,0,0,1,2
484.0,324.0,84.0,444.0,0,0,0,0,1,0,0,0,2
564.0,334.0,4.0,434.0,0,0,0,0,0,1,0,0,3
554.0,484.0,14.0,284.0,1,0,0,0,0,1,1,0,0
264.0,484.0,304.0,284.0,1,0,0,0,0,0,1,0,0
194.0,484.0,374.0,284.0,1,0,0,0,0,0,1,0,0
